,rank,menu,cafe,title,price,address,tel,domain,link
0,1.0,BLT,Old Oak Tap,Old Oak Tap BLT,10.0,2109 W. Chicago Ave.,773-772-0406,theoldoaktap.com,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Old-Oak-Tap-BLT/
1,2.0,Fried Bologna,Au Cheval,Au Cheval Fried Bologna,9.0,800 W. Randolph St.,312-929-4580,aucheval.tumblr.com,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Au-Cheval-Fried-Bologna/
2,3.0,Woodland Mushroom,Xoco,Xoco Woodland Mushroom,950.0,445 N. Clark St.,312-334-3688,rickbayless.com,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Xoco-Woodland-Mushroom/
3,4.0,Roast Beef,Al’s Deli,Al’s Deli Roast Beef,940.0,914 Noyes St.,Evanston,847-475-9400,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Als-Deli-Roast-Beef/
4,5.0,PB&L,Publican Quality Meats,Publican Quality Meats PB&L,10.0,825 W. Fulton Mkt.,312-445-8977,publicanqualitymeats.com,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Publican-Quality-Meats-PB-L/
5,6.0,Belgian Chicken Curry Salad,Hendrickx Belgian Bread Crafter,Hendrickx Belgian Bread Crafter Belgian Chicken Curry Salad,725.0,100 E. Walton St.,312-649-6717,,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Hendrickx-Belgian-Bread-Crafter-Belgian-Chicken-Curry-Salad/
6,7.0,Lobster Roll,Acadia,Acadia Lobster Roll,16.0,1639 S. Wabash Ave.,312-360-9500,acadiachicago.com,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Acadia-Lobster-Roll/
7,8.0,Smoked Salmon Salad,Birchwood Kitchen,Birchwood Kitchen Smoked Salmon Salad,10.0,2211 W. North Ave.,773-276-2100,birchwoodkitchen.com,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Birchwood-Kitchen-Smoked-Salmon-Salad/
8,9.0,Atomica Cemitas,Cemitas Puebla,Cemitas Puebla Atomica Cemitas,9.0,3619 W. North Ave.,773-772-8435,cemitaspuebla.com,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Cemitas-Puebla-Atomica-Cemitas/
9,10.0,Grilled Laughing Bird Shrimp and Fried Po’ Boy,Nana,Nana Grilled Laughing Bird Shrimp and Fried Po’ Boy,,,,,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Nana-Grilled-Laughing-Bird-Shrimp-and-Fried-Oyster-Po-Boy/
10,11.0,Ham and Raclette Panino,Lula Cafe,Lula Cafe Ham and Raclette Panino,11.0,2537 N. Kedzie Blvd.,773-489-9554,lulacafe.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Lula-Cafe-Ham-and-Raclette-Panino/
11,12.0,Breaded Steak,Ricobene’s,Ricobene’s Breaded Steak,549.0,Multiple locations,ricobenespizza.com,,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Ricobenes-Breaded-Steak/
12,13.0,The Hawkeye,Frog n Snail,Frog n Snail The Hawkeye,14.0,3124 N. Broadway,773-661-9166,frognsnail.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Frog-n-Snail-The-Hawkeye/
13,14.0,Chicken Dip,Crosby’s Kitchen,Crosby’s Kitchen Chicken Dip,10.0,3455 N. Southport Ave.,773-883-2525,crosbyskitchenchicago.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Crosbys-Kitchen-Chicken-Dip/
14,15.0,Wild Boar Sloppy Joe,Longman & Eagle,Longman & Eagle Wild Boar Sloppy Joe,13.0,2657 N. Kedzie Ave.,773-276-7110,longmanandeagle.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Longman-and-Eagle-Wild-Boar-Sloppy-Joe/
15,16.0,Meatball Sub,Bari,Bari Meatball Sub,,,,,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Bari-Meatball-Sub/
16,17.0,Corned Beef,Manny’s,Manny’s Corned Beef,1195.0,1141 S. Jefferson St.,312-939-2855,mannysdeli.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Mannys-Corned-Beef/
17,18.0,Turkey Club,Eggy’s,Eggy’s Turkey Club,1150.0,333 E. Benton Pl.,773-234-3449,eggysdiner.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Eggys-Turkey-Club/
18,19.0,Falafel,Old Jerusalem,Old Jerusalem Falafel,625.0,1411 N. Wells St.,312-944-0459,oldjerusalemchicago.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Old-Jerusalem-Falafel/
19,20.0,Crab Cake,Mindy’s HotChocolate,Mindy’s HotChocolate Crab Cake,15.0,1747 N. Damen Ave.,773-489-1747,hotchocolatechicago.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Mindys-HotChocolate-Crab-Cake/
20,21.0,Chicken Schnitzel,Olga’s Delicatessen,Olga’s Delicatessen Chicken Schnitzel,5.0,3209 W. Irving Park Rd.,773-539-8038,,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Olgas-Delicatessen-Chicken-Schnitzel/
21,22.0,Shawarma,Dawali Mediterranean Kitchen,Dawali Mediterranean Kitchen Shawarma,6.0,Multiple locations,dawalikitchen.com,,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Dawali-Mediterranean-Kitchen-Shawarma/
22,23.0,Toasted Pimiento Cheese,Big Jones,Big Jones Toasted Pimiento Cheese,8.0,5347 N. Clark St.,773-275-5725,bigjoneschicago.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Big-Jones-Toasted-Pimiento-Cheese/
23,24.0,Vegetarian Panino,La Pane,La Pane Vegetarian Panino,599.0,2954 W. Irving Park Rd.,773-539-5321,lapanechicago.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-La-Pane-Vegetarian-Panino/
24,25.0,Cali Chèvre,Pastoral,Pastoral Cali Chèvre,752.0,Multiple locations,pastoralartisan.com,,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Pastoral-Cali-Chevre/
25,26.0,Pastrami,Max’s Deli,Max’s Deli Pastrami,1195.0,191 Skokie Valley Rd.,Highland Park,847-831-0600,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Maxs-Deli-Pastrami/
26,27.0,The Fredo,Lucky’s Sandwich Co.,Lucky’s Sandwich Co. The Fredo,750.0,Multiple locations,luckysandwich.com,,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Luckys-Sandwich-Co-The-Fredo/
27,28.0,Smoked Ham,City Provisions,City Provisions Smoked Ham,1295.0,1818 W. Wilson Ave.,773-293-2489,cityprovisions.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-City-Provisions-Smoked-Ham/
28,29.0,Jibarito,Papa’s Cache Sabroso,Papa’s Cache Sabroso Jibarito,7.0,2517 W. Division St.,773-862-8313,papascachesabroso.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Papas-Cache-Sabroso-Jibarito/
29,30.0,Shaved Prime Rib,Bavette’s Bar & Boeuf,Bavette’s Bar & Boeuf Shaved Prime Rib,21.0,218 W. Kinzie St.,312-624-8154,,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Bavettes-Bar-and-Boeuf-Shaved-Prime-Rib/
30,31.0,Serrano Ham and Manchego Cheese,Hannah’s Bretzel,Hannah’s Bretzel Serrano Ham and Manchego Cheese,979.0,Multiple locations,hannahsbretzel.com,,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Hannahs-Bretzel-Serrano-Ham-and-Manchego-Cheese/
31,32.0,Tuna Salad,La Fournette,La Fournette Tuna Salad,975.0,1547 N. Wells St.,312-624-9430,lafournette.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-La-Fournette-Tuna-Salad/
32,33.0,Paramount Reuben,Paramount Room,Paramount Room Paramount Reuben,13.0,415 N. Milwaukee Ave.,312-829-6300,paramountroom.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Paramount-Room-Paramount-Reuben/
33,34.0,The Istanbul,Melt Sandwich Shoppe,Melt Sandwich Shoppe The Istanbul,795.0,1840 N. Damen Ave.,773-681-9914,meltsandwichshoppechicago.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Melt-Sandwich-Shoppe-The-Istanbul/
34,35.0,B.A.D.,Floriole Cafe & Bakery,Floriole Cafe & Bakery B.A.D.,9.0,1220 W. Webster Ave.,773-883-1313,floriole.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Floriole-Cafe-and-Bakery-BAD/
35,36.0,Duck Confit and Mozzarella,First Slice Pie Café,First Slice Pie Café Duck Confit and Mozzarella,9.0,5357 N. Ashland Ave.,773-275-4297,firstslice.org,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-First-Slice-Pie-Cafe-Duck-Confit-and-Mozzarella/
36,37.0,Croque Monsieur,Troquet,Troquet Croque Monsieur,8.0,1834 W. Montrose Ave.,773-334-5664,troquetchicago.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Troquet-Croque-Monsieur/
37,38.0,Green Garbanzo,Grahamwich,Grahamwich Green Garbanzo,8.0,615 N. State St.,312-265-0434,grahamwich.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Grahamwich-Green-Garbanzo/
38,39.0,The Hen House,Saigon Sisters,Saigon Sisters The Hen House,7.0,Multiple locations,saigonsisters.com,,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Saigon-Sisters-The-Hen-House/
39,40.0,Tuscan Chicken,Rosalia’s Deli,Rosalia’s Deli Tuscan Chicken,6.0,241 N. York Rd.,Elmhurst,630-516-3354,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Rosalias-Deli-Tuscan-Chicken/
40,41.0,The Marty,Z&H MarketCafe,Z&H MarketCafe The Marty,725.0,1323 E. 57th St.,773-538-7372,zhmarketcafe.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Z-and-H-MarketCafe-The-Marty/
41,42.0,Whitefish,Market House on the Square,Market House on the Square Whitefish,11.0,655 Forest Ave.,Lake Forest,847-234-8800,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Market-House-on-the-Square-Whitefish/
42,43.0,"Oat Bread, Pecan Butter, and Fruit Jam",Elaine’s Coffee Call,"Elaine’s Coffee Call Oat Bread, Pecan Butter, and Fruit Jam",6.0,Hotel Lincoln,1816 N. Clark St.,312-254-4665,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Elaines-Coffee-Call-Oat-Bread-Pecan-Butter-and-Fruit-Jam/
43,44.0,Cauliflower Melt,Marion Street Cheese Market,Marion Street Cheese Market Cauliflower Melt,9.0,100 S. Marion St.,Oak Park,708-725-7200,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Marion-Street-Cheese-Market-Cauliflower-Melt/
44,45.0,Cubana,Cafecito,Cafecito Cubana,,,,,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Cafecito-Cubano/
45,46.0,Kufta,Chickpea,Chickpea Kufta,8.0,2018 W. Chicago Ave.,773-384-9930,chickpeaonthego.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Chickpea-Kufta/
46,47.0,Debbie’s Egg Salad,The Goddess and Grocer,The Goddess and Grocer Debbie’s Egg Salad,650.0,25 E. Delaware Pl.,312-896-2600,goddessandgrocer.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-The-Goddess-and-Grocer-Debbies-Egg-Salad/
47,48.0,Beef Curry,Zenwich,Zenwich Beef Curry,750.0,416 N. York St.,Elmhurst,630-359-5234,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Zenwich-Beef-Curry/
48,49.0,Le Végétarien,Toni Patisserie,Toni Patisserie Le Végétarien,875.0,65 E. Washington St.,312-726-2020,tonipatisserie.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Toni-Patisserie-Le-Vegetarien/
49,50.0,The Gatsby,Phoebe’s Bakery,Phoebe’s Bakery The Gatsby,685.0,3351 N. Broadway,773-868-4000,phoebesbakery.com,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Phoebes-Bakery-The-Gatsby/
50,,,,Nana Grilled Laughing Bird Shrimp and Fried Oyster Po’ Boy,17.0,3267 S. Halsted St.,312-929-2486,nanaorganic.com,
51,,,,Best Sandwiches in Chicago: Bari Meatball Sub,450.0,1120 W. Grand Ave.,312-666-0730,bariitaliansubs.com,
52,,,,Cafecito Cubano,549.0,26 E. Congress Pkwy.,312-922-2233,cafecitochicago.com,
